Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,CODEC,21,33.8,27.96
12331098_1080_1920_25fps,V5_Standart,CODEC,22,33.77,28.03
12331098_1080_1920_25fps,V5_Standart,CODEC,23,33.76,28.1
12331098_1080_1920_25fps,V5_Standart,CODEC,24,33.87,28.15
12331098_1080_1920_25fps,V5_Standart,CODEC,25,33.81,28.2
12331098_1080_1920_25fps,V5_Standart,CODEC,26,33.76,28.25
12331098_1080_1920_25fps,V5_Standart,CODEC,27,33.75,28.3
12331098_1080_1920_25fps,V5_Standart,CODEC,28,33.81,28.34
12331098_1080_1920_25fps,V5_Standart,CODEC,29,33.86,28.38
12331098_1080_1920_25fps,V5_Standart,CODEC,30,33.82,28.43
12331098_1080_1920_25fps,V5_Standart,CODEC,31,33.8,28.73
12331098_1080_1920_25fps,V5_Standart,CODEC,32,33.84,28.77
12331098_1080_1920_25fps,V5_Standart,CODEC,33,33.94,28.8
12331098_1080_1920_25fps,V5_Standart,CODEC,34,33.86,28.82
12331098_1080_1920_25fps,V5_Standart,CODEC,35,33.93,28.84
12331098_1080_1920_25fps,V5_Standart,CODEC,36,33.99,28.88
12331098_1080_1920_25fps,V5_Standart,CODEC,37,33.79,28.93
12331098_1080_1920_25fps,V5_Standart,CODEC,38,33.87,28.93
12331098_1080_1920_25fps,V5_Standart,CODEC,39,33.81,28.95
12331098_1080_1920_25fps,V5_Standart,CODEC,40,33.94,28.95
12331098_1080_1920_25fps,V5_Standart,CODEC,41,33.89,28.95
12331098_1080_1920_25fps,V5_Standart,CODEC,42,34.02,28.94
12331098_1080_1920_25fps,V5_Standart,CODEC,43,33.81,28.95
12331098_1080_1920_25fps,V5_Standart,CODEC,44,33.85,28.95
12331098_1080_1920_25fps,V5_Standart,CODEC,45,33.94,28.95
12331098_1080_1920_25fps,V5_Standart,CODEC,46,33.95,29.28
12331098_1080_1920_25fps,V5_Standart,CODEC,47,33.82,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,48,33.82,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,49,33.83,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,50,33.97,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,51,33.95,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,52,33.79,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,53,33.84,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,54,33.88,29.53
